ticker,rating,score,as_of_date,generated_at_utc,universe,source
QMMM,99,33.616641,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
MGRT,99,21.159764,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
AXTI,99,20.143439,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
BW,99,11.730047,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
SNDK,99,9.190559,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
BNAI,99,7.193841,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
RLMD,99,6.344119,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
ERAS,99,5.879053,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
TERN,99,5.69909,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
LITE,99,5.194058,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
RGC,99,5.110793,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
KOD,99,4.693515,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
BVC,99,4.678485,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
AAOI,99,4.651951,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
HYMC,99,4.615696,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
TNGX,99,4.033108,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
ANRO,99,3.964471,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
LWLG,99,3.740066,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
STTK,99,3.630434,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
SLGL,99,3.543407,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
PRAX,99,3.416806,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
MTC,99,3.414031,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
CELC,99,3.32042,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
ILLR,99,3.275239,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
AEHR,99,3.213721,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
BE,98,3.146677,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
CLYM,98,2.960164,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
PL,98,2.810545,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
WDC,98,2.795887,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
OPTX,98,2.785509,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
CIEN,98,2.726268,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
DMRA,98,2.715212,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
CAR,98,2.671157,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
OVID,98,2.658457,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
BBGI,98,2.641824,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
IRD,98,2.573112,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
ARTV,98,2.542805,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
NBTX,98,2.477496,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
ALMS,98,2.3668,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
ORKA,98,2.301486,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
PRLD,98,2.267508,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
ALM,98,2.264325,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
WATT,98,2.24682,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
STRO,98,2.246368,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
IMMX,98,2.15579,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
LASR,98,2.152676,2026-04-17,2026-04-20 04:32:04,us_common_stocks_v3,github_actions_yahoo
